2020-01-22 07:37:05,318 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1767)
2020-01-22 07:37:05,318 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1767)
2020-01-22 07:37:05,324 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1772)
2020-01-22 07:37:05,331 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1775)
2020-01-22 07:37:05,347 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1788)
2020-01-22 07:37:05,352 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1790)
2020-01-22 07:37:05,353 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1790)
2020-01-22 07:37:05,354 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1790)
2020-01-22 07:37:05,355 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1790)
2020-01-22 07:37:05,356 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1791)
2020-01-22 07:37:05,371 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1805)
2020-01-22 07:37:05,384 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1815)
2020-01-22 07:37:05,420 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1842)
2020-01-22 07:37:05,429 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1844)
2020-01-22 07:37:05,432 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1845)
2020-01-22 07:37:05,458 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1869)
2020-01-22 07:37:05,463 [INFO :onlinePreprocess] WARNING: ignoring an empty line (1876)
2020-01-22 07:37:05,495 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1905)
